mois,site,metier,reel,Baseline moyenne train,Regression lineaire,Random Forest,prediction_retenue,modele_retenu
2023-01-01,Berlin,Finance,4,26.151993067590986,34.08611227618179,29.941166896932764,29.941166896932764,Random Forest
2023-01-01,Berlin,Finance,26,26.151993067590986,24.477957094002946,29.765071815121,29.765071815121,Random Forest
2023-01-01,Berlin,Finance,9,26.151993067590986,33.68203764484476,29.61754542263227,29.61754542263227,Random Forest
2023-01-01,Berlin,Hr,53,26.151993067590986,36.32997537762391,28.163389360691433,28.163389360691433,Random Forest
2023-01-01,Berlin,Hr,10,26.151993067590986,22.23923266260625,29.282963924168588,29.282963924168588,Random Forest
2023-01-01,Berlin,Hr,57,26.151993067590986,21.138653491658587,29.166051960528712,29.166051960528712,Random Forest
2023-01-01,Berlin,It,1,26.151993067590986,26.742840997976582,27.925256609505418,27.925256609505418,Random Forest
2023-01-01,Berlin,Operations,42,26.151993067590986,24.796068506886783,29.85147349124444,29.85147349124444,Random Forest
2023-01-01,Berlin,Operations,35,26.151993067590986,34.96481243643672,30.726860834010317,30.726860834010317,Random Forest
2023-01-01,Lyon,Finance,29,26.151993067590986,33.472519047584015,30.305793045469795,30.305793045469795,Random Forest
2023-01-01,Lyon,Finance,22,26.151993067590986,36.661719719125514,29.381174106760902,29.381174106760902,Random Forest
2023-01-01,Lyon,Finance,44,26.151993067590986,26.69072610438463,29.934471906066467,29.934471906066467,Random Forest
2023-01-01,Lyon,Finance,10,26.151993067590986,28.645603337805493,29.436683281907726,29.436683281907726,Random Forest
2023-01-01,Lyon,Finance,21,26.151993067590986,28.337707968189253,28.815636875855223,28.815636875855223,Random Forest
2023-01-01,Lyon,Finance,40,26.151993067590986,46.42429770983182,56.48213290182041,56.48213290182041,Random Forest
2023-01-01,Lyon,Finance,102,26.151993067590986,36.50008370890514,30.341207243691287,30.341207243691287,Random Forest
2023-01-01,Lyon,Finance,25,26.151993067590986,20.92007932372131,28.446998987118963,28.446998987118963,Random Forest
2023-01-01,Lyon,Finance,53,26.151993067590986,37.07965921268222,29.193769582628015,29.193769582628015,Random Forest
2023-01-01,Lyon,Finance,16,26.151993067590986,21.253897741686544,30.140174791567368,30.140174791567368,Random Forest
2023-01-01,Lyon,Hr,13,26.151993067590986,28.382467444246657,29.426724828811693,29.426724828811693,Random Forest
2023-01-01,Lyon,Hr,20,26.151993067590986,25.449406369889445,28.294827319606686,28.294827319606686,Random Forest
2023-01-01,Lyon,It,18,26.151993067590986,17.50947261370492,15.907739645312782,15.907739645312782,Random Forest
2023-01-01,Lyon,It,4,26.151993067590986,37.162294463740885,29.74276966948484,29.74276966948484,Random Forest
2023-01-01,Lyon,It,57,26.151993067590986,22.806259145478737,28.792366761363446,28.792366761363446,Random Forest
2023-01-01,Lyon,It,68,26.151993067590986,53.597403708129846,42.997624809537434,42.997624809537434,Random Forest
2023-01-01,Lyon,It,8,26.151993067590986,21.38973795350948,28.646444477389792,28.646444477389792,Random Forest
2023-01-01,Lyon,It,7,26.151993067590986,27.695855959994013,29.73649662853473,29.73649662853473,Random Forest
2023-01-01,Lyon,It,33,26.151993067590986,21.294469710995614,29.00786122101842,29.00786122101842,Random Forest
2023-01-01,Lyon,It,10,26.151993067590986,20.97992548534814,29.712438305886288,29.712438305886288,Random Forest
2023-01-01,Lyon,It,35,26.151993067590986,35.76393890764423,28.497208868018607,28.497208868018607,Random Forest
2023-01-01,Lyon,Operations,44,26.151993067590986,35.351687087250426,29.42767066986667,29.42767066986667,Random Forest
2023-01-01,Lyon,Operations,52,26.151993067590986,29.908626572895148,29.40913453273158,29.40913453273158,Random Forest
2023-01-01,Lyon,Operations,32,26.151993067590986,17.37163753725497,25.01851032878633,25.01851032878633,Random Forest
2023-01-01,Madrid,Finance,51,26.151993067590986,25.215844999103343,29.37257941752095,29.37257941752095,Random Forest
2023-01-01,Madrid,Finance,59,26.151993067590986,23.839304078102877,48.15247829936091,48.15247829936091,Random Forest
2023-01-01,Madrid,Finance,28,26.151993067590986,20.166803939836765,25.148401672149838,25.148401672149838,Random Forest
2023-01-01,Madrid,Finance,33,26.151993067590986,26.823210951367308,29.539708239163616,29.539708239163616,Random Forest
2023-01-01,Madrid,It,44,26.151993067590986,28.30530513385187,29.433500148257576,29.433500148257576,Random Forest
2023-01-01,Madrid,It,2,26.151993067590986,23.826077579660303,29.78936160501151,29.78936160501151,Random Forest
2023-01-01,Paris,Finance,17,26.151993067590986,15.554741509580902,15.424185418459956,15.424185418459956,Random Forest
2023-01-01,Paris,Hr,11,26.151993067590986,19.620361561731528,29.395720477292645,29.395720477292645,Random Forest
2023-01-01,Paris,Hr,9,26.151993067590986,36.99813567652005,55.92849100814819,55.92849100814819,Random Forest
2023-01-01,Paris,It,20,26.151993067590986,19.120062164592458,23.966480248754067,23.966480248754067,Random Forest
2023-01-01,Paris,It,1,26.151993067590986,32.156954930434026,29.472862344959076,29.472862344959076,Random Forest
2023-01-01,Paris,It,0,26.151993067590986,28.951263473231098,29.16642735841823,29.16642735841823,Random Forest
2023-01-01,Paris,It,16,26.151993067590986,22.065230034576665,29.434547763722957,29.434547763722957,Random Forest
2023-01-01,Paris,It,44,26.151993067590986,25.262473955573135,26.826490331609467,26.826490331609467,Random Forest
2023-01-01,Paris,It,43,26.151993067590986,48.86122157866742,64.48564942474178,64.48564942474178,Random Forest
2023-01-01,Paris,It,48,26.151993067590986,28.55672281334167,29.322791187228944,29.322791187228944,Random Forest
2023-01-01,Paris,It,35,26.151993067590986,29.326905473512912,30.157451886246587,30.157451886246587,Random Forest
2023-01-01,Paris,It,14,26.151993067590986,17.62458959973356,10.995214311509915,10.995214311509915,Random Forest
2023-01-01,Paris,It,6,26.151993067590986,30.41722174580752,28.512736308335963,28.512736308335963,Random Forest
2023-01-01,Paris,It,33,26.151993067590986,20.285541286675205,29.860036481063396,29.860036481063396,Random Forest
2023-01-01,Paris,Operations,40,26.151993067590986,24.655501105408916,29.608478233443595,29.608478233443595,Random Forest
